Date,Open,High,Low,Close,Adj Close,Volume
11/05/2015,110.019997,110.220001,109.379997,110.199997,101.774185,9665800
18/05/2015,109.93,110.010002,109.389999,109.790001,101.395531,7851900
25/05/2015,109.800003,110.300003,109.75,110.169998,101.746483,7742900
01/06/2015,109.949997,109.989998,108.510002,108.550003,100.250313,13097000
08/06/2015,108.760002,108.900002,108.040001,108.580002,100.46624,6893100
15/06/2015,108.959999,109.260002,108.440002,109.209999,101.049156,9838100
22/06/2015,108.949997,109,108.110001,108.209999,100.123871,6317200
29/06/2015,108.599998,109,108.150002,108.440002,100.33667,12442200
06/07/2015,108.879997,109.379997,108.279999,108.379997,100.481079,10599500
13/07/2015,108.239998,108.860001,108.139999,108.790001,100.861191,7353500
20/07/2015,108.669998,109.239998,108.510002,109.120003,101.167168,5750500
27/07/2015,109.25,109.510002,108.940002,109.5,101.51944,10856000
03/08/2015,109.290001,109.540001,108.720001,109.199997,101.241333,9763200
10/08/2015,109.150002,109.709999,108.849998,109.07,101.317726,7843600
17/08/2015,109.330002,109.870003,108.959999,109.760002,101.958717,7876400
24/08/2015,110,110.339996,108.879997,109,101.252708,22320100
31/08/2015,109.279999,109.370003,108.769997,109.269997,101.503532,14652700
07/09/2015,108.959999,109.169998,108.699997,109.059998,101.515717,9587700
14/09/2015,109.18,109.389999,108.400002,109.279999,101.720512,11360900
21/09/2015,109.169998,109.510002,108.879997,109.110001,101.562271,9858200
28/09/2015,109.190002,110.150002,109.110001,109.790001,102.195236,14340900
05/10/2015,109.629997,109.699997,109.239998,109.330002,101.957848,16875700
12/10/2015,109.480003,110.050003,109.330002,109.769997,102.368172,10355800
19/10/2015,109.779999,110.050003,109.550003,109.75,102.34951,9132200
26/10/2015,109.849998,110.050003,109.129997,109.449997,102.069763,18134700
02/11/2015,109.080002,109.190002,108.190002,108.25,100.950661,18640700
09/11/2015,108.059998,108.589996,108.040001,108.550003,101.429306,26912600
16/11/2015,108.629997,108.900002,108.419998,108.620003,101.494751,14006500
23/11/2015,108.650002,108.870003,108.57,108.769997,101.634888,5426700
30/11/2015,108.830002,108.870003,107.809998,108.239998,101.139664,15935200
07/12/2015,108.300003,108.860001,108.209999,108.690002,101.711533,11569500
14/12/2015,108.529999,108.580002,107.910004,108.379997,101.42144,18668500
21/12/2015,108.489998,108.540001,107.919998,108.010002,101.07518,12589500
28/12/2015,108.029999,108.129997,107.599998,108.010002,101.283348,13968400
04/01/2016,108.089996,108.709999,107.870003,108.660004,101.892891,15825600
11/01/2016,108.389999,109.120003,108.339996,108.93,102.146065,17821700
18/01/2016,108.849998,109.18,108.589996,108.839996,102.061646,19074400
25/01/2016,108.949997,109.480003,108.720001,109.349998,102.539925,18558000
01/02/2016,109.099998,109.639999,108.839996,109.32,102.51178,17083500
08/02/2016,109.589996,110.5,109.5,109.769997,103.148819,14058200
15/02/2016,109.540001,109.849998,109.220001,109.790001,103.167618,9926000
22/02/2016,109.769997,110.32,109.519997,109.959999,103.327354,11636600
29/02/2016,109.940002,110.099998,109.279999,109.379997,102.782356,18397100
07/03/2016,109.389999,109.830002,109.209999,109.419998,103.026321,11170000
14/03/2016,109.489998,110.290001,109.290001,110.169998,103.732483,11847300
21/03/2016,110.059998,110.290001,109.830002,110.110001,103.675995,9906700
28/03/2016,110.150002,110.849998,110.080002,110.510002,104.052658,19946300
04/04/2016,110.599998,111.050003,110.510002,110.879997,104.610077,12352100
11/04/2016,110.870003,110.980003,110.639999,110.949997,104.676125,10647800
18/04/2016,110.910004,111.029999,110.449997,110.519997,104.270454,13018900
25/04/2016,110.519997,110.949997,110.230003,110.889999,104.61953,22300100
02/05/2016,110.739998,111.160004,110.519997,110.970001,104.695023,15245600
09/05/2016,111.110001,111.260002,110.919998,111.199997,105.106499,10234500
16/05/2016,111.190002,111.190002,110.32,110.540001,104.482643,12922500
23/05/2016,110.540001,110.730003,110.339996,110.629997,104.567757,10485200
30/05/2016,110.410004,111.300003,110.360001,111.300003,105.201012,10430000
06/06/2016,111.169998,111.660004,111.07,111.519997,105.617096,10495900
13/06/2016,111.57,112.07,111.529999,111.790001,105.872803,10528900
20/06/2016,111.57,112.150002,111.25,111.879997,105.958046,11462900
27/06/2016,112.330002,112.769997,112.309998,112.650002,106.687294,18105800
04/07/2016,113.029999,113.269997,112.870003,113.25,107.458267,13914700
11/07/2016,113.190002,113.239998,112.220001,112.260002,106.518883,15715300
18/07/2016,112.489998,112.610001,112.199997,112.529999,106.775093,10502400
25/07/2016,112.580002,113.029999,112.309998,113.019997,107.240044,14498900
01/08/2016,112.5,112.68,112.099998,112.169998,106.43351,15048400
08/08/2016,112.160004,112.830002,112.029999,112.629997,107.065773,12467700
15/08/2016,112.57,112.779999,112.360001,112.480003,106.923203,18661900
22/08/2016,112.660004,112.860001,112.279999,112.339996,106.790123,10831500
29/08/2016,112.550003,112.709999,112.050003,112.309998,106.761574,12395200
05/09/2016,112.360001,112.760002,111.730003,111.730003,106.406448,10954800
12/09/2016,111.760002,111.93,111.339996,111.800003,106.473114,11408100
19/09/2016,111.730003,112.349998,111.650002,112.230003,106.882629,11437800
26/09/2016,112.279999,112.650002,112.269997,112.419998,107.063583,13409900
03/10/2016,112.209999,112.25,111.410004,111.580002,106.263603,21691000
10/10/2016,111.580002,111.68,111.260002,111.370003,106.255615,10153300
17/10/2016,111.449997,111.900002,111.389999,111.830002,106.694481,7887400
24/10/2016,111.809998,111.830002,111.040001,111.160004,106.055267,10458500
31/10/2016,111.300003,111.330002,110.82,111.239998,106.131577,15825700
07/11/2016,111.139999,111.18,109.220001,109.25,104.429787,14761200
14/11/2016,108.639999,109.129997,108.360001,108.370003,103.588608,12142600
21/11/2016,108.559998,108.660004,107.919998,108.169998,103.397423,8740000
28/11/2016,108.379997,108.720001,107.470001,108.019997,103.254051,18244000
05/12/2016,107.940002,108.379997,107.720001,107.839996,103.276558,17855200
12/12/2016,107.699997,108.120003,107.059998,107.230003,102.692375,17884900
